date,away_team,home_team,away_score,home_score,winner,final_score,total_goals
2023-10-10,Predators,Lightning,3,5,home,3-5,8
2023-10-11,Blackhawks,Penguins,4,2,away,4-2,6
2023-10-11,Kraken,Golden Knights,1,4,home,1-4,5
2023-10-11,Senators,Hurricanes,3,5,home,3-5,8
2023-10-11,Canadiens,Maple Leafs,5,6,home,5-6,11
2023-10-11,Blackhawks,Bruins,1,3,home,1-3,4
2023-10-12,Jets,Flames,3,5,home,3-5,8
2023-10-12,Avalanche,Kings,5,2,away,5-2,7
2023-10-12,Oilers,Canucks,1,8,home,1-8,9
2023-10-12,Rangers,Sabres,5,1,away,5-1,6
2023-10-12,Flyers,Blue Jackets,4,2,away,4-2,6
2023-10-12,Red Wings,Devils,3,4,home,3-4,7
2023-10-13,Blues,Stars,1,2,home,1-2,3
2023-10-13,Panthers,Wild,0,2,home,0-2,2
2023-10-13,Kraken,Predators,0,3,home,0-3,3
2023-10-13,Golden Knights,Sharks,4,1,away,4-1,5
2023-10-13,Coyotes,Devils,4,3,away,4-3,7
2023-10-13,Penguins,Capitals,4,0,away,4-0,4
2023-10-14,Flyers,Senators,2,5,home,2-5,7
2023-10-14,Panthers,Jets,4,6,home,4-6,10
2023-10-14,Predators,Bruins,2,3,home,2-3,5
2023-10-14,Rangers,Blue Jackets,3,5,home,3-5,8
2023-10-14,Lightning,Red Wings,4,6,home,4-6,10
2023-10-14,Blackhawks,Canadiens,2,3,home,2-3,5
2023-10-14,Flames,Penguins,2,5,home,2-5,7
2023-10-14,Wild,Maple Leafs,4,7,home,4-7,11
2023-10-14,Sabres,Islanders,2,3,home,2-3,5
2023-10-15,Kraken,Blues,1,2,home,1-2,3
2023-10-15,Canucks,Oilers,4,3,away,4-3,7
2023-10-15,Avalanche,Sharks,2,1,away,2-1,3
2023-10-15,Ducks,Golden Knights,1,4,home,1-4,5
2023-10-15,Hurricanes,Kings,6,5,away,6-5,11
2023-10-15,Lightning,Senators,2,5,home,2-5,7
2023-10-16,Hurricanes,Ducks,3,6,home,3-6,9
2023-10-16,Red Wings,Blue Jackets,4,0,away,4-0,4
2023-10-16,Panthers,Devils,4,3,away,4-3,7
2023-10-16,Coyotes,Rangers,1,2,home,1-2,3
2023-10-16,Blackhawks,Maple Leafs,4,1,away,4-1,5
2023-10-16,Flames,Capitals,2,3,home,2-3,5
2023-10-11,Senators,Hurricanes,3,5,home,3-5,8
2023-10-11,Canadiens,Maple Leafs,5,6,home,5-6,11
2023-10-11,Blackhawks,Bruins,1,3,home,1-3,4
2023-10-12,Jets,Flames,3,5,home,3-5,8
2023-10-12,Avalanche,Kings,5,2,away,5-2,7
2023-10-12,Oilers,Canucks,1,8,home,1-8,9
2023-10-12,Rangers,Sabres,5,1,away,5-1,6
2023-10-12,Flyers,Blue Jackets,4,2,away,4-2,6
2023-10-12,Red Wings,Devils,3,4,home,3-4,7
2023-10-13,Blues,Stars,1,2,home,1-2,3
2023-10-13,Panthers,Wild,0,2,home,0-2,2
2023-10-13,Kraken,Predators,0,3,home,0-3,3
2023-10-13,Golden Knights,Sharks,4,1,away,4-1,5
2023-10-13,Coyotes,Devils,4,3,away,4-3,7
2023-10-13,Penguins,Capitals,4,0,away,4-0,4
2023-10-14,Flyers,Senators,2,5,home,2-5,7
2023-10-14,Panthers,Jets,4,6,home,4-6,10
2023-10-14,Predators,Bruins,2,3,home,2-3,5
2023-10-14,Rangers,Blue Jackets,3,5,home,3-5,8
2023-10-14,Lightning,Red Wings,4,6,home,4-6,10
2023-10-14,Blackhawks,Canadiens,2,3,home,2-3,5
2023-10-14,Flames,Penguins,2,5,home,2-5,7
2023-10-14,Wild,Maple Leafs,4,7,home,4-7,11
2023-10-14,Sabres,Islanders,2,3,home,2-3,5
2023-10-15,Kraken,Blues,1,2,home,1-2,3
2023-10-15,Canucks,Oilers,4,3,away,4-3,7
2023-10-15,Avalanche,Sharks,2,1,away,2-1,3
2023-10-15,Ducks,Golden Knights,1,4,home,1-4,5
2023-10-15,Hurricanes,Kings,6,5,away,6-5,11
2023-10-15,Lightning,Senators,2,5,home,2-5,7
2023-10-16,Hurricanes,Ducks,3,6,home,3-6,9
2023-10-16,Red Wings,Blue Jackets,4,0,away,4-0,4
