date      , away_team     , home_team     , away_score, home_score, winner, final_score, total_goals
2024-03-02, Coyotes       , Senators      ,          5,          3, away  , 5-3        ,           8
2024-03-02, Flyers        , Capitals      ,          2,          5, home  , 2-5        ,           7
2024-03-02, Devils        , Ducks         ,          3,          4, home  , 3-4        ,           7
2024-03-02, Jets          , Hurricanes    ,          5,          3, away  , 5-3        ,           8
2024-03-02, Panthers      , Red Wings     ,          4,          0, away  , 4-0        ,           4
2024-03-02, Oilers        , Kraken        ,          2,          1, away  , 2-1        ,           3
2024-03-02, Avalanche     , Predators     ,          1,          5, home  , 1-5        ,           6
2024-03-02, Wild          , Blues         ,          1,          3, home  , 1-3        ,           4
2024-03-03, Golden Knights, Sabres        ,          2,          7, home  , 2-7        ,           9
2024-03-03, Senators      , Flyers        ,          2,          4, home  , 2-4        ,           6
2024-03-03, Canadiens     , Lightning     ,          3,          4, home  , 3-4        ,           7
2024-03-03, Rangers       , Maple Leafs   ,          3,          4, home  , 3-4        ,           7
2024-03-03, Bruins        , Islanders     ,          1,          5, home  , 1-5        ,           6
2024-03-03, Blue Jackets  , Blackhawks    ,          5,          2, away  , 5-2        ,           7
2024-03-03, Sharks        , Stars         ,          2,          3, home  , 2-3        ,           5
2024-03-03, Penguins      , Flames        ,          3,          4, home  , 3-4        ,           7
2024-03-03, Coyotes       , Capitals      ,          5,          2, away  , 5-2        ,           7
2024-03-03, Devils        , Kings         ,          1,          5, home  , 1-5        ,           6
2024-03-04, Jets          , Sabres        ,          5,          2, away  , 5-2        ,           7
2024-03-04, Sharks        , Wild          ,          3,          4, home  , 3-4        ,           7
2024-03-04, Canucks       , Ducks         ,          2,          1, away  , 2-1        ,           3
2024-03-04, Penguins      , Oilers        ,          1,          6, home  , 1-6        ,           7
2024-03-05, Golden Knights, Blue Jackets  ,          3,          6, home  , 3-6        ,           9
2024-03-05, Panthers      , Rangers       ,          4,          2, away  , 4-2        ,           6
2024-03-05, Blues         , Flyers        ,          2,          1, away  , 2-1        ,           3
2024-03-05, Bruins        , Maple Leafs   ,          4,          1, away  , 4-1        ,           5
2024-03-05, Blackhawks    , Avalanche     ,          0,          5, home  , 0-5        ,           5
2024-03-05, Kraken        , Flames        ,          4,          2, away  , 4-2        ,           6
2024-03-06, Panthers      , Devils        ,          5,          3, away  , 5-3        ,           8
2024-03-06, Blue Jackets  , Penguins      ,          3,          5, home  , 3-5        ,           8
2024-03-06, Oilers        , Bruins        ,          2,          1, away  , 2-1        ,           3
2024-03-06, Blues         , Islanders     ,          2,          4, home  , 2-4        ,           6
2024-03-06, Canadiens     , Predators     ,          4,          3, away  , 4-3        ,           7
2024-03-06, Kraken        , Jets          ,          4,          3, away  , 4-3        ,           7
2024-03-06, Blackhawks    , Coyotes       ,          5,          2, away  , 5-2        ,           7
2024-03-06, Canucks       , Kings         ,          2,          1, away  , 2-1        ,           3
2024-03-06, Stars         , Sharks        ,          7,          6, away  , 7-6        ,          13
2024-03-07, Sabres        , Maple Leafs   ,          1,          2, home  , 1-2        ,           3
2024-03-07, Red Wings     , Avalanche     ,          2,          7, home  , 2-7        ,           9
2024-03-07, Senators      , Ducks         ,          1,          2, home  , 1-2        ,           3
2024-03-08, Maple Leafs   , Bruins        ,          1,          4, home  , 1-4        ,           5
2024-03-08, Canadiens     , Hurricanes    ,          1,          4, home  , 1-4        ,           5
2024-03-08, Oilers        , Blue Jackets  ,          2,          4, home  , 2-4        ,           6
2024-03-08, Flyers        , Panthers      ,          2,          1, away  , 2-1        ,           3
2024-03-08, Blues         , Devils        ,          1,          4, home  , 1-4        ,           5
2024-03-08, Capitals      , Penguins      ,          6,          0, away  , 6-0        ,           6
2024-03-08, Flames        , Lightning     ,          6,          3, away  , 6-3        ,           9
2024-03-08, Sabres        , Predators     ,          2,          4, home  , 2-4        ,           6
2024-03-08, Wild          , Coyotes       ,          5,          2, away  , 5-2        ,           7
2024-03-08, Canucks       , Golden Knights,          3,          1, away  , 3-1        ,           4
2024-03-08, Senators      , Kings         ,          3,          4, home  , 3-4        ,           7
2024-03-08, Islanders     , Sharks        ,          7,          2, away  , 7-2        ,           9
2024-03-02, Jets          , Hurricanes    ,          5,          3, away  , 5-3        ,           8
2024-03-02, Panthers      , Red Wings     ,          4,          0, away  , 4-0        ,           4
2024-03-02, Oilers        , Kraken        ,          2,          1, away  , 2-1        ,           3
2024-03-02, Avalanche     , Predators     ,          1,          5, home  , 1-5        ,           6
2024-03-02, Wild          , Blues         ,          1,          3, home  , 1-3        ,           4
2024-03-03, Golden Knights, Sabres        ,          2,          7, home  , 2-7        ,           9
2024-03-03, Senators      , Flyers        ,          2,          4, home  , 2-4        ,           6
2024-03-03, Canadiens     , Lightning     ,          3,          4, home  , 3-4        ,           7
2024-03-03, Rangers       , Maple Leafs   ,          3,          4, home  , 3-4        ,           7
2024-03-03, Bruins        , Islanders     ,          1,          5, home  , 1-5        ,           6
2024-03-03, Blue Jackets  , Blackhawks    ,          5,          2, away  , 5-2        ,           7
2024-03-03, Sharks        , Stars         ,          2,          3, home  , 2-3        ,           5
2024-03-03, Penguins      , Flames        ,          3,          4, home  , 3-4        ,           7
2024-03-03, Coyotes       , Capitals      ,          5,          2, away  , 5-2        ,           7
2024-03-03, Devils        , Kings         ,          1,          5, home  , 1-5        ,           6
2024-03-04, Jets          , Sabres        ,          5,          2, away  , 5-2        ,           7
2024-03-04, Sharks        , Wild          ,          3,          4, home  , 3-4        ,           7
2024-03-04, Canucks       , Ducks         ,          2,          1, away  , 2-1        ,           3
2024-03-04, Penguins      , Oilers        ,          1,          6, home  , 1-6        ,           7
2024-03-05, Golden Knights, Blue Jackets  ,          3,          6, home  , 3-6        ,           9
2024-03-05, Panthers      , Rangers       ,          4,          2, away  , 4-2        ,           6
2024-03-05, Blues         , Flyers        ,          2,          1, away  , 2-1        ,           3
2024-03-05, Bruins        , Maple Leafs   ,          4,          1, away  , 4-1        ,           5
2024-03-05, Blackhawks    , Avalanche     ,          0,          5, home  , 0-5        ,           5
2024-03-05, Kraken        , Flames        ,          4,          2, away  , 4-2        ,           6
2024-03-06, Panthers      , Devils        ,          5,          3, away  , 5-3        ,           8
2024-03-06, Blue Jackets  , Penguins      ,          3,          5, home  , 3-5        ,           8
2024-03-06, Oilers        , Bruins        ,          2,          1, away  , 2-1        ,           3
2024-03-06, Blues         , Islanders     ,          2,          4, home  , 2-4        ,           6
2024-03-06, Canadiens     , Predators     ,          4,          3, away  , 4-3        ,           7
2024-03-06, Kraken        , Jets          ,          4,          3, away  , 4-3        ,           7
2024-03-06, Blackhawks    , Coyotes       ,          5,          2, away  , 5-2        ,           7
2024-03-06, Canucks       , Kings         ,          2,          1, away  , 2-1        ,           3
2024-03-06, Stars         , Sharks        ,          7,          6, away  , 7-6        ,          13
2024-03-07, Sabres        , Maple Leafs   ,          1,          2, home  , 1-2        ,           3
2024-03-07, Red Wings     , Avalanche     ,          2,          7, home  , 2-7        ,           9
2024-03-07, Senators      , Ducks         ,          1,          2, home  , 1-2        ,           3
2024-03-08, Maple Leafs   , Bruins        ,          1,          4, home  , 1-4        ,           5
2024-03-08, Canadiens     , Hurricanes    ,          1,          4, home  , 1-4        ,           5
2024-03-08, Oilers        , Blue Jackets  ,          2,          4, home  , 2-4        ,           6
2024-03-08, Flyers        , Panthers      ,          2,          1, away  , 2-1        ,           3
2024-03-08, Blues         , Devils        ,          1,          4, home  , 1-4        ,           5
2024-03-08, Capitals      , Penguins      ,          6,          0, away  , 6-0        ,           6
2024-03-08, Flames        , Lightning     ,          6,          3, away  , 6-3        ,           9
2024-03-08, Sabres        , Predators     ,          2,          4, home  , 2-4        ,           6
2024-03-08, Wild          , Coyotes       ,          5,          2, away  , 5-2        ,           7
2024-03-08, Canucks       , Golden Knights,          3,          1, away  , 3-1        ,           4
2024-03-08, Senators      , Kings         ,          3,          4, home  , 3-4        ,           7
2024-03-08, Islanders     , Sharks        ,          7,          2, away  , 7-2        ,           9
2024-03-09, Red Wings     , Coyotes       ,          0,          4, home  , 0-4        ,           4
2024-03-09, Wild          , Avalanche     ,          1,          2, home  , 1-2        ,           3
2024-03-09, Stars         , Ducks         ,          6,          2, away  , 6-2        ,           8
2024-03-09, Jets          , Kraken        ,          3,          0, away  , 3-0        ,           3
2024-03-03, Coyotes       , Capitals      ,          5,          2, away  , 5-2        ,           7
2024-03-03, Devils        , Kings         ,          1,          5, home  , 1-5        ,           6
2024-03-04, Jets          , Sabres        ,          5,          2, away  , 5-2        ,           7
2024-03-04, Sharks        , Wild          ,          3,          4, home  , 3-4        ,           7
