date      , teamName      , gamesPlayed, wins, losses, ties, goalFor, goalAgainst, l10Wins, l10Ties, l10Losses
2024-03-01, Panthers      ,          60,   40,     16,    0,     198,         145,       9,       0,         1
2024-03-01, Bruins        ,          61,   35,     12,    0,     207,         169,       3,       0,         2
2024-03-01, Rangers       ,          60,   40,     17,    0,     201,         164,       9,       0,         1
2024-03-01, Canucks       ,          62,   38,     17,    0,     222,         175,       4,       0,         5
2024-03-01, Stars         ,          62,   36,     17,    0,     222,         188,       4,       0,         3
2024-03-01, Jets          ,          58,   37,     16,    0,     177,         139,       7,       0,         3
2024-03-01, Avalanche     ,          61,   37,     19,    0,     226,         189,       5,       0,         4
2024-03-01, Hurricanes    ,          60,   36,     18,    0,     198,         167,       7,       0,         2
2024-03-01, Maple Leafs   ,          59,   34,     17,    0,     220,         187,       8,       0,         2
2024-03-01, Golden Knights,          60,   33,     20,    0,     196,         172,       4,       0,         5
2024-03-01, Oilers        ,          57,   35,     20,    0,     204,         170,       5,       0,         4
2024-03-01, Red Wings     ,          60,   33,     21,    0,     216,         191,       7,       0,         3
2024-03-01, Kings         ,          59,   30,     19,    0,     183,         161,       6,       0,         4
2024-03-01, Predators     ,          61,   34,     25,    0,     194,         189,       8,       0,         2
2024-03-01, Lightning     ,          62,   32,     24,    0,     210,         210,       5,       0,         4
2024-03-01, Flyers        ,          61,   31,     23,    0,     185,         182,       5,       0,         4
2024-03-01, Capitals      ,          59,   28,     22,    0,     158,         188,       6,       0,         2
2024-03-01, Islanders     ,          59,   25,     20,    0,     175,         200,       5,       0,         3
2024-03-01, Devils        ,          60,   30,     26,    0,     201,         209,       5,       0,         5
2024-03-01, Flames        ,          59,   29,     25,    0,     185,         184,       7,       0,         3
2024-03-01, Blues         ,          59,   30,     26,    0,     171,         185,       4,       0,         5
2024-03-01, Kraken        ,          59,   26,     22,    0,     165,         169,       5,       0,         4
2024-03-01, Penguins      ,          57,   27,     22,    0,     170,         156,       4,       0,         5
2024-03-01, Wild          ,          60,   28,     26,    0,     189,         202,       6,       0,         3
2024-03-01, Sabres        ,          60,   28,     28,    0,     174,         180,       6,       0,         4
2024-03-01, Canadiens     ,          60,   23,     28,    0,     170,         215,       2,       0,         7
2024-03-01, Senators      ,          58,   25,     30,    0,     193,         208,       4,       0,         5
2024-03-01, Coyotes       ,          60,   24,     31,    0,     175,         199,       1,       0,         8
2024-03-01, Blue Jackets  ,          59,   19,     30,    0,     173,         218,       4,       0,         6
2024-03-01, Ducks         ,          60,   22,     35,    0,     161,         214,       4,       0,         5
2024-03-01, Sharks        ,          58,   15,     38,    0,     124,         228,       2,       0,         7
2024-03-01, Blackhawks    ,          60,   15,     40,    0,     123,         213,       1,       0,         6
2024-03-02, Panthers      ,          61,   41,     16,    0,     202,         145,       9,       0,         1
2024-03-02, Rangers       ,          61,   40,     17,    0,     204,         168,       8,       0,         1
2024-03-02, Bruins        ,          62,   35,     13,    0,     208,         174,       3,       0,         2
2024-03-02, Canucks       ,          62,   38,     17,    0,     222,         175,       4,       0,         5
2024-03-02, Stars         ,          63,   37,     17,    0,     225,         190,       4,       0,         3
2024-03-02, Jets          ,          59,   38,     16,    0,     182,         142,       8,       0,         2
2024-03-02, Avalanche     ,          62,   37,     20,    0,     227,         194,       5,       0,         4
