date      , away_team     , home_team     , away_wins, away_losses, away_goals_for, away_goals_against, away_l10_wins, away_l10_losses, away_l10_ties, home_wins, home_losses, home_goals_for, home_goals_against, home_l10_wins, home_l10_losses, home_l10_ties, winner, final_score, total_goals
2024-03-02, Coyotes       , Senators      ,        24,          31,            175,                199,             1,               8,             0,        25,          31,            195,                212,             3,               6,             0, away  , 5-3        ,           8
2024-03-02, Flyers        , Capitals      ,        32,          23,            189,                184,             5,               4,             0,        28,          22,            158,                188,             6,               2,             0, home  , 2-5        ,           7
2024-03-02, Devils        , Ducks         ,        30,          26,            201,                209,             5,               5,             0,        22,          35,            161,                214,             4,               5,             0, home  , 3-4        ,           7
2024-03-02, Jets          , Hurricanes    ,        38,          16,            182,                142,             8,               2,             0,        36,          19,            201,                172,             6,               3,             0, away  , 5-3        ,           8
2024-03-02, Panthers      , Red Wings     ,        41,          16,            202,                145,             9,               1,             0,        33,          22,            216,                195,             6,               4,             0, away  , 4-0        ,           4
2024-03-02, Oilers        , Kraken        ,        36,          20,            206,                171,             6,               3,             0,        26,          23,            166,                171,             5,               4,             0, away  , 2-1        ,           3
2024-03-02, Avalanche     , Predators     ,        37,          20,            227,                194,             5,               4,             0,        35,          25,            199,                190,             8,               2,             0, home  , 1-5        ,           6
2024-03-02, Wild          , Blues         ,        28,          27,            190,                205,             5,               4,             0,        31,          26,            174,                186,             4,               5,             0, home  , 1-3        ,           4
2024-03-03, Golden Knights, Sabres        ,        33,          21,            198,                179,             3,               6,             0,        29,          29,            183,                187,             6,               4,             0, home  , 2-7        ,           9
2024-03-03, Senators      , Flyers        ,        25,          31,            195,                212,             3,               6,             0,        32,          23,            189,                184,             5,               4,             0, home  , 2-4        ,           6
2024-03-03, Canadiens     , Lightning     ,        23,          28,            173,                219,             2,               6,             0,        33,          24,            214,                213,             5,               4,             0, home  , 3-4        ,           7
2024-03-03, Rangers       , Maple Leafs   ,        40,          17,            204,                168,             8,               1,             0,        35,          17,            224,                190,             9,               1,             0, home  , 3-4        ,           7
2024-03-03, Bruins        , Islanders     ,        35,          13,            208,                174,             3,               2,             0,        26,          20,            180,                201,             5,               3,             0, home  , 1-5        ,           6
2024-03-03, Blue Jackets  , Blackhawks    ,        20,          30,            178,                220,             4,               6,             0,        15,          41,            125,                218,             1,               6,             0, away  , 5-2        ,           7
